# 数据源出清单 — 由 factset-fetch 自动维护(每次拉取更新对应条目,勿手改格式)
# 格式: 文件名 | FactSet 页签路径 | 财年/内容 | 表格说明 | URL | 抓取时间(UTC)
AMD-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | AMD-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:23Z
AMD-US FY3 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Dec '28E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/AMD-US | 抓取于 2026-07-28T23:23Z
ASML-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | ASML-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:23Z
ASML-US FY3 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Dec '28E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/ASML-US | 抓取于 2026-07-28T23:23Z
GOOGL-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | GOOGL-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:23Z
GOOGL-US FY3 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Dec '28E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/GOOGL-US | 抓取于 2026-07-28T23:23Z
MSFT-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | MSFT-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:24Z
MSFT-US FY1 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Jun '27E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/MSFT-US | 抓取于 2026-07-28T23:24Z
MSFT-US FY2 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Jun '28E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/MSFT-US | 抓取于 2026-07-28T23:23Z
NVDA-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | NVDA-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:23Z
NVDA-US FY3 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Jan '29E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/NVDA-US | 抓取于 2026-07-28T23:22Z
SPCX-US Daily Charting.xlsx | FactSet 页签: Charting > 下载菜单 > Download data to Excel | SPCX-US | 表格: 价格/成交量及图上指标序列(频率与年限按账号保存的图表设置) | https://my.apps.factset.com/workstation/charting/ | 2026-07-28T23:24Z
SPCX-US FY1 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Dec '26E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/SPCX-US | 抓取于 2026-07-28T23:24Z
SPCX-US FY2 Estimate History.xlsx | FactSet 页签: Company/Security > Estimates > Estimate History | 财年 Dec '27E | 表格: 逐月一致预期(Mean/Low/High/上调下调家数/P⁄E) | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/SPCX-US | 抓取于 2026-07-28T23:24Z
companies.csv | FactSet 页签: Company/Security > Estimates > Estimate History | 各公司页头实时价格汇总 | 6 家 | https://my.apps.factset.com/workstation/navigator/company-security/estimate-history/ | 2026-07-28T23:41Z
